api_method,api_path,page,control_id,control_type,control_desc,d1_table,d1_fields,required_auth,required_state
POST,/api/v1/auth/login,登录页,login.submit,button,账号登录并生成会话,users,username/password,公开,idle
GET,/api/v1/health,系统自检,system.health,system-state,检查服务健康,d1:?,-,否,idle
GET,/api/v1/bootstrap,启动页,bootstrap.load,system-init,启动权限与入口摘要,users,institution_id;role,是,loading
GET,/api/v1/portal,公共入口,portal.load,system-init,公开咨询与咨询入口聚合,leads;courses,-,否,loading
GET,/api/v1/me,应用侧会话,session.me,bootstrap,获取当前用户信息,users,id;institution_id;role;phone,是,authenticated
GET,/api/v1/public/courses,公开咨询页,public.courses.list,card-list,课程表展示,courses,id;name;grade;course_type;class_type;start_time;duration_minutes;total_sessions;price_cents;single_period_price;bundle_price;capacity;remaining_seats;schedule,否,loaded
GET,/api/v1/public/courses,首页招生区,public.courses.refresh,button,刷新公开课程列表,courses,id;name;grade;course_type;class_type;start_time;duration_minutes;total_sessions;price_cents;single_period_price;bundle_price;capacity;remaining_seats;schedule,否,click
GET,/api/v1/public/courses/{id},课程详情页,public.courses.detail,link,课程详情弹出/courses详情,courses,course_id;teacher_id;start_date;end_date;weekday;time_slot;status,否,loaded
POST,/api/v1/ai/agent,首页,home.quick-start,button,继续今天的任务并生成今日练习建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/student/courses,首页,home.quick-card.courses,button,快速打开在读课程,courses;course_enrollments,course_id;name;grade;class_type;start_time;status,是,click
GET,/api/v1/student/today-path,首页,home.quick-card.practice,button,快速打开学习练习,today_tasks;courses,task_id;student_id;task_type;title;status;score;created_at,是,click
GET,/api/v1/student/courses,首页,home.jump-courses,button,从首页入口进入课程页,courses;course_enrollments,course_id;name;grade;class_type;start_time;status;progress,是,click
GET,/api/v1/student/today-path,首页,home.jump-practice,button,从首页入口进入学习练习,today_tasks;courses,task_id;student_id;task_type;title;status;score;created_at,是,click
GET,/api/v1/public/courses,首页,home.select-public-course,button,选择公开课程用于试听,courses;course_type;class_type;grade;start_time;price_cents;capacity;capacityLeft;courseId,否,selected
POST,/api/v1/public/leads,首页,home.submit-consult,form,提交公开咨询,leads,institutionId;guardianName;studentGrade;needSummary;courseId;initialMessage,status,否,submitted
POST,/api/v1/public/trial-bookings,首页,home.submit-trial,form,提交试听预约,trial_bookings,leadId;courseId;institutionId;reservedAt;durationMinutes;sourceChannel,status,否,submitted
POST,/api/v1/public/leads/{leadId}/ai-reply,首页,home.send-ai-reply,button,AI 咨询回执发送,lead_messages,leadId;message;actor_role;tone;request_id,否,submitted
GET,/api/v1/admin/culture-wall,首页,home.open-culture-wall,button,打开学习档案与课堂素材,culture_wall_assets,id;institution_id;kind;title;status;media_key;media_url;created_at,是,click
POST,/api/v1/admin/culture-wall,首页,culture-wall.prepare-upload-photo,button,上传图片素材前检查与入口,culture_wall_assets,institutionId;kind;title;media_key;media_url;notes,是,submitting
POST,/api/v1/admin/culture-wall,首页,culture-wall.prepare-upload-video,button,上传教学视频前检查与入口,culture_wall_assets,institutionId;kind;title;media_key;media_url;notes,是,submitting
GET,/api/v1/admin/culture-wall,首页,culture-wall.view-all,button,查看文化墙全部内容,culture_wall_assets,id;institution_id;kind;title;status;media_key;media_url;created_at,是,click
GET,/api/v1/admin/culture-wall,首页,culture-wall.view-home-sync,button,查看首页同步素材,culture_wall_assets,id;institution_id;kind;title;status;media_key;media_url;created_at,是,click
POST,/api/v1/student/voice-practice/assess,练习页,practice.task.item,button,提交任务评分并落库,voice_practice_records,student_id;task_id;transcript;score;result;suggestions,是,submitting
POST,/api/v1/student/voice-practice/assess,练习页,practice.transcript,input,填写口语稿后提交评分,voice_practice_records,transcript;task_id;student_id;score,是,editing
POST,/api/v1/ai/agent,首页,home.enter-practice,button,进入练习模块并生成练习建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,课程卡牌页,courses.path.select,button,选择课程关卡并生成路径建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,课程卡牌页,courses.path.continue,button,继续课程关卡并生成下一站建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/student/courses,课程卡牌页,courses.path.tab,button,课程详情页签切换前同步课程上下文,courses,course_id;grade;class_type;start_time;status,是,click
GET,/api/v1/student/courses,课程卡牌页,courses.library.refresh,button,课程清单区查看全部/刷新,courses;course_enrollments,course_id;name;grade;class_type;start_time;status;progress,是,click
GET,/api/v1/student/courses,课程卡牌页,courses.library.item,button,课程卡片切换课程详情,courses;course_enrollments,course_id;name;grade;class_type;start_time;duration_minutes;status;progress,是,click
GET,/api/v1/student/courses,课程卡牌页,courses.overview.refresh,button,课程总览刷新,courses;course_enrollments;lesson_accounts,course_id;name;grade;class_type;start_time;progress;rule_summary,是,click
POST,/api/v1/ai/agent,首页,home.risk-scan,button,立即扫描续费风险并生成建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,练习页,practice.challenge.start,button,启动练习挑战并生成任务建议,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,练习页,practice.challenge.choice,button,提交练习选择并生成反馈,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,练习页,practice.challenge.reset,button,重置练习并重新生成挑战,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/public/leads,创始人看板,founder.cockpit.leads.list,table,咨询线索查询(leads后端看板),leads,id;institution_id;status;student_grade;need_summary;ai_recommendation;updated_at,是,loaded
POST,/api/v1/public/leads,公开咨询页,public.leads.submit,form,外部咨询提交(leads入口),leads,institutionId;guardianName;studentGrade;needSummary;privacyConsent,status,否,submit
POST,/api/v1/public/leads/{leadId}/ai-reply,公开咨询页,public.leads.ai-reply,button,AI 回复咨询并落库,lead_messages,leadId;actor_role;message;tone;created_at,否,submitted
POST,/api/v1/public/trial-bookings,公开咨询页,public.trial-bookings.submit,form,提交试听预约,trial_bookings,lead_id;course_id;teacher_id;reserved_at;duration_minutes;status;notes,否,submit
GET,/api/v1/student/today-path,学生首页,student.today-path,card,拉取今日学习任务,student_tasks,task_type;title;status;score;created_at;payload;student_id,是,loaded
GET,/api/v1/student/today-path,学生首页,student.refresh,button,刷新今日任务与学习概览,student_tasks;voice_practice_records;lesson_accounts,student_id,是,click
GET,/api/v1/student/today-path,学生首页,student.path.item,button,点击学习路径卡片后进入练习模块,today_tasks;courses,task_id;student_id;task_type;title;status;score;created_at,是,click
GET,/api/v1/student/today-path,学生首页,student.today-path.link,link,今日路径“查看”跳转学习练习入口,today_tasks;courses,task_id;student_id;task_type;title;status;score;created_at,是,click
GET,/api/v1/student/courses,学生首页,student.course-card,button,点击课程卡片进入课程页面,courses;course_enrollments,course_id;name;grade;class_type;start_time;duration_minutes;status;progress,是,click
GET,/api/v1/student/today-path,学生首页,student.practice-card,button,点击练习卡片进入练习页面,today_tasks;courses,task_id;student_id;task_type;title;status;score;note,是,click
POST,/api/v1/student/voice-practice/assess,学生首页,student.voice-practice.transcript,textarea,填写或修正口语稿并参与评分,voice_practice_records,transcript,是,editing
POST,/api/v1/student/voice-practice/assess,学生首页,student.voice-practice.assess,action,提交评分请求并落库,voice_practice_records,student_id;user_id;task_id;transcript;score;result;suggestions,是,submitting
GET,/api/v1/student/review/{type},复习页,student.review.list,list,按类型查询复习列表,student_tasks,student_id;task_type;status;answer;score;updated_at,是,loaded
GET,/api/v1/student/review/{type},学生复盘页,student.review.summary,card,查询学习总览（type=summary）,student_tasks,student_id;task_type;status;answer;score;updated_at,是,loaded
GET,/api/v1/student/review/{type},学生复盘页,student.review.history,list,查询最近练习记录（type=history）,student_tasks,student_id;task_type;status;answer;score;updated_at,是,loaded
GET,/api/v1/student/review/{type},学生复盘页,student.review.mistakes,list,查询错题/弱项（type=mistakes）,student_tasks,student_id;task_type;status;answer;score;updated_at,是,loaded
GET,/api/v1/student/courses,学生课程页,student.courses,table,我的课程安排,courses;course_enrollments,course_id;grade;class_type;start_time;duration_minutes;status,是,loaded
GET,/api/v1/student/lesson-account,学生课时页,student.lesson-account,card,剩余课时与扣减明细,lesson_accounts,student_id;remaining_hours;used_hours;hold_hours;remaining_hours;amount_cents,是,loaded
GET,/api/v1/student/courses,课程页,student.course.enter,button,课程页点击课程卡片后进入详情,courses;course_enrollments,course_id;name;grade;class_type;start_time;duration_minutes;status;progress,是,click
GET,/api/v1/student/lesson-account,课程页,student.course.lesson-account,button,课程页课程与课时联动查询,lesson_accounts,student_id;remaining_hours;used_hours;hold_hours;remaining_hours;amount_cents,是,click
GET,/api/v1/teacher/students,老师首页,teacher.students.list,table,查看授权学生列表,students,id;name;grade;teacher_id;weakness_points,是,loaded
GET,/api/v1/teacher/exceptions,老师首页,teacher.exceptions.list,table,异常任务列表,student_tasks;lessons,student_id;status;created_at;teacher_note,是,loaded
POST,/api/v1/teacher/exceptions,老师首页,teacher.exceptions.create,form,上报异常/更新异常,student_tasks,studentId;courseId;status;note,是,submitting
GET,/api/v1/teacher/student/{studentId}/detail,老师首页,teacher.student.detail,drawer,查看学生详情与学习记录,students;student_tasks;courses;lessons;lesson_accounts,student_id;student_name;courses;lesson_records;intervention_count,是,loaded
POST,/api/v1/teacher/student/{studentId}/intervention,老师首页,teacher.student.intervention.create,form,提交老师干预,student_tasks,student_id;interventionType;action;note;priority;dueAt;channel,是,submitting
GET,/api/v1/teacher/courses,老师课程页,teacher.courses.list,table,老师课程列表,courses;course_enrollments,courseId;teacher_id;grade;class_type;start_time;status,是,loaded
GET,/api/v1/teacher/courses/{courseId}/attendance,老师点名页,teacher.course.attendance.get,table,课程点名表查看,attendance_records;lessons,course_id;student_id;status;attended_at;source_lesson_id,是,loaded
POST,/api/v1/teacher/courses/{courseId}/attendance,老师点名页,teacher.course.attendance.submit,form,老师提交点名并更新课时,attendance_records;lesson_accounts;lessons,courseId;studentIds;status;note;attendedAt,是,submitting
GET,/api/v1/teacher/courses,老师首页,teacher.workspace.refresh.courses,button,刷新老师工作台（课程区）,teacher_students;courses,courseId;studentId;status;note,是,click
GET,/api/v1/teacher/students,老师首页,teacher.workspace.refresh.students,button,刷新老师工作台（学生列表）,teacher_students,studentId;status;note,是,click
GET,/api/v1/teacher/exceptions,老师首页,teacher.workspace.refresh.exceptions,button,刷新老师工作台（异常区）,teacher_exceptions,studentId;status;note,是,click
POST,/api/v1/teacher/courses/{courseId}/attendance,老师首页,teacher.workspace.attendance-status,select,选择点名状态,attendance_records,status,是,submitting
POST,/api/v1/teacher/courses/{courseId}/attendance,老师首页,teacher.workspace.student-select,select,选择点名学生,students;lesson_accounts,studentId,是,submitting
POST,/api/v1/teacher/courses/{courseId}/attendance,老师首页,teacher.workspace.attendance-note,input,点名备注,attendance_records,note,是,submitting
POST,/api/v1/teacher/courses/{courseId}/attendance,老师首页,teacher.workspace.quick-close,button,提交当前课程点名闭环并同步到课时,attendance_records;lesson_accounts;lessons,courseId;studentId;status;note;attendedAt,是,submitting
POST,/api/v1/teacher/courses/{courseId}/attendance,老师首页,teacher.workspace.quick-close-all,button,一键完成全部课程闭环,attendance_records;lesson_accounts;lessons,courseId;studentIds;status;note;attendedAt,是,submitting
POST,/api/v1/ai/agent,老师首页,teacher.workspace.feedback,button,生成老师端课堂反馈草稿,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/ai/agent,老师首页,teacher.workspace.exercise,button,生成老师端学生练习题草稿,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
POST,/api/v1/teacher/student/{studentId}/intervention,老师首页,teacher.workspace.intervention,button,提交老师干预动作,student_tasks,studentId;interventionType;action;note;priority;channel,是,submitting
PATCH,/api/v1/admin/institutions,平台后台,admin.institutions.action,button,执行平台机构动作（冻结/恢复/延长）并回写机构状态,institutions;admin_institution_actions,institutionId;status;planCode;planMode;studentLimit;teacherLimit;aiLimitMonthly;trialEndsAt,是,submitting
GET,/api/v1/parent/children,家长首页,parent.children,table,绑定孩子列表,students,guardian_id;name;grade;renewal_risk,是,loaded
GET,/api/v1/parent/children,家长首页,parent.refresh,button,刷新家长数据,students;student_tasks;lesson_accounts;payment_records,studentId,是,click
GET,/api/v1/parent/children,家长首页,parent.child.select,select,切换孩子,students,studentId,是,change
